POS,CLUB,PTS,PJ,PG,PE,PP,GF,GC,DIF
1,   Universidad Católica,25,10,8,1,1,23,9,14
2,   Unión Española,20,10,6,2,2,20,14,6
3,   Unión La Calera,20,10,6,2,2,14,10,4
4,   Universidad de Chile,19,10,5,4,1,20,10,10
5,   Deportes Antofagasta,17,10,4,5,1,15,9,6
6,   Audax Italiano,16,10,4,4,2,17,13,4
7,   Palestino,16,10,4,4,2,10,10,0
8,   Curicó Unido,16,10,5,1,4,7,14,-7
9,   Huachipato,14,10,4,2,4,13,14,-1
10,   Cobresal,13,10,3,4,3,15,14,1
11,   Everton,11,10,2,5,3,6,8,-2
12,   Deportes Iquique,11,10,3,2,5,11,16,-5
13,   Santiago Wanderers,10,10,3,1,6,14,19,-5
14,   Colo Colo,8,10,2,2,6,12,15,-3
15,   U. de Concepción,8,10,1,5,4,13,17,-4
16,   O'Higgins,8,10,2,2,6,10,15,-5
17,   Coquimbo Unido,8,10,2,2,6,7,16,-9
18,   Deportes La Serena,5,10,1,2,7,9,13,-4
